date,location_id,city,state,region,sessions,page_views,bounce_rate,conversion_rate,online_orders,avg_order_value,revenue,ad_spend_social,ad_spend_search,ad_spend_display,impressions_social,impressions_search,impressions_display,clicks_social,clicks_search,clicks_display
2024-12-29,LA-001,Los Angeles,CA,West,670,2515,0.4489,0.0273,18,24.33,437.94,450.1,656.68,293.05,19970,15764,14813,530,607,215
2024-12-30,LA-001,Los Angeles,CA,West,943,3624,0.5428,0.0216,20,33.83,676.6,276.28,326.6,288.65,8614,6563,11598,279,345,139
2025-01-01,LA-001,Los Angeles,CA,West,676,2785,0.5203,0.0251,16,19.37,309.92,402.42,563.5,185.3,15388,12557,9869,314,755,90
01/02/2025,LA-001,Los Angeles,CA,West,701,2322,,0.0282,19,22.72,431.68,182.78,598.57,162.17,5959,15296,8920,188,952,77
2025-01-03,LA-001,Los Angeles,CA,West,986,3460,0.3846,0.0213,21,23.86,501.06,402.53,639.37,340.74,10772,17689,16116,288,901,192
01/04/2025,LA-001,Los Angeles,CA,West,1135,4581,0.5957,0.0689,78,22.4,1747.2,251.02,529.15,302.45,9566,9343,19110,238,562,298
2025-01-05,LA-001,Los Angeles,CA,West,908,2647,0.4827,0.0382,34,23.03,705.29,291.75,456.92,133.65,12146,7379,8811,389,402,115
2025-01-06,LA-001,Los Angeles,CA,West,642,1865,0.3811,0.0739,47,24.17,1135.99,361.64,322.83,179.46,12207,6970,9992,221,313,108
01/07/2025,LA-001,Los Angeles,CA,West,724,2862,0.4352,0.0634,45,29.33,1319.85,494.38,400.01,259.86,13757,8099,17938,398,369,250
2025-01-08,LA-001,Los Angeles,CA,West,653,2545,0.477,0.0417,27,24.48,660.96,257.11,694.88,236.71,7592,11857,10016,242,403,157
01/09/2025,LA-001,Los Angeles,CA,West,572,1759,0.5994,0.0663,37,31.85,1178.45,337.56,437.21,282.33,10042,9471,13706,300,454,182
2025-01-10,LA-001,Los Angeles,CA,West,965,3567,0.6399,0.069,66,31.72,2093.52,270.0,547.77,329.79,9744,9059,21560,312,375,337
2025-01-11,LA-001,Los Angeles,CA,West,1169,3326,0.366,0.0501,58,22.39,1298.62,314.97,253.53,343.4,13160,6274,21888,233,260,356
2025-01-15,LA-001,Los Angeles,CA,West,793,2626,0.3643,0.0452,35,31.6,1106.0,219.91,674.47,263.22,5570,15331,12439,99,723,175
01/16/2025,LA-001,Los Angeles,CA,West,780,2856,0.6465,0.0532,41,24.94,1022.54,408.84,710.9,180.88,10353,19071,9106,307,1051,143
2025-01-17,LA-001,Los Angeles,CA,West,915,3824,0.3689,0.0666,60,26.05,1563.0,195.77,335.75,130.06,8548,7631,9061,221,306,140
01/18/2025,LA-001,Los Angeles,CA,West,764,3294,0.573,0.0737,56,24.88,1393.28,358.63,478.81,341.83,12690,12936,21129,210,699,342
2025-01-19,LA-001,Los Angeles,CA,West,968,4142,0.4558,0.0799,77,23.03,1773.31,521.25,276.02,273.0,16818,7457,16484,572,266,232
2025-01-20,LA-001,Los Angeles,CA,West,743,2938,0.6346,0.0423,31,31.09,963.79,370.61,431.06,275.89,11115,7199,17124,277,327,233
2025-01-22,LA-001,Los Angeles,CA,West,456,1621,0.3763,0.0609,27,32.45,876.15,305.07,271.17,250.12,13065,7530,15345,438,417,244
01/23/2025,LA-001,Los Angeles,CA,West,794,2721,0.5911,0.0531,42,28.6,1058.17,539.85,585.06,246.17,21800,16001,10391,750,891,129
2025-01-24,LA-001,Los Angeles,CA,West,1050,3161,0.3959,0.0299,31,23.82,738.42,304.57,691.63,334.78,12767,12974,19769,332,454,218
2025-01-26,LA-001,Los Angeles,CA,West,967,3634,0.5976,0.0217,20,19.25,385.0,387.64,552.54,304.07,12920,13584,16705,355,564,293
2025-01-29,LA-001,Los Angeles,CA,West,637,2578,0.6082,0.0785,50,20.66,1033.0,382.19,393.18,231.95,11599,7359,9951,241,333,140
2025-01-30,LA-001,Los Angeles,CA,West,899,3303,0.4996,0.0385,34,18.88,641.92,361.96,704.01,171.63,11603,11093,9413,378,623,119
2025-01-31,LA-001,Los Angeles,CA,West,894,3343,0.3721,0.0503,44,31.11,1368.84,536.07,566.59,148.51,23856,11846,9481,519,800,147
2025-02-02,LA-001,Los Angeles,CA,West,1357,4988,0.4484,0.0568,77,21.18,1630.86,446.15,383.63,200.73,18544,8817,12297,389,552,143
2025/02/03,LA-001,Los Angeles,CA,West,1327,5466,0.5233,0.0633,83,28.13,2334.79,406.45,537.47,321.88,11362,13550,13180,385,466,107
2025-02-04,LA-001,Los Angeles,CA,West,955,2775,0.3914,0.0324,30,23.86,715.8,369.17,390.6,161.56,15963,7864,8179,485,462,118
2025-02-05,LA-001,Los Angeles,CA,West,990,3958,0.4451,0.0409,40,33.91,1356.4,278.44,298.5,282.39,9075,8866,18228,309,551,198
2025-02-07,LA-001,Los Angeles,CA,West,1594,6349,0.3912,0.0569,90,28.18,2536.2,421.14,494.9,273.11,10970,10491,16801,186,638,135
2025-02-08,LA-001,Los Angeles,CA,West,1270,5516,0.3768,0.0544,69,27.33,1885.77,517.2,678.35,162.02,22055,11963,10950,770,548,141
02/10/2025,LA-001,Los Angeles,CA,West,1253,4114,0.6467,0.0526,65,26.65,1732.25,486.38,464.65,166.27,13255,8102,8939,267,303,137
2025-02-11,LA-001,Los Angeles,CA,West,1248,3886,0.3922,0.0394,49,22.59,1106.91,264.79,601.8,348.97,8218,15552,14078,230,897,121
2025-02-12,LA-001,Los Angeles,CA,West,1158,5045,0.4385,0.0569,65,22.12,1437.8,235.15,598.91,265.38,7834,13917,14363,201,787,146
2025-02-13,LA-001,Los Angeles,CA,West,1229,4497,0.5218,0.029,35,23.91,836.85,221.85,338.59,259.96,5949,7670,16705,143,387,209
2025-02-14,LA-001,Los Angeles,CA,West,1548,4453,0.4534,0.0238,36,34.9,1256.4,204.85,688.21,127.62,6796,18261,8036,234,1019,98
2025-02-15,LA-001,Los Angeles,CA,West,1295,4018,0.5112,0.0517,66,30.51,2013.66,181.25,250.91,191.61,6972,5812,10722,219,231,122
2025-02-16,LA-001,Los Angeles,CA,West,1236,3493,0.4118,0.0261,32,19.05,609.6,433.18,263.36,297.73,14314,4876,13849,461,157,180
2025-02-17,LA-001,Los Angeles,CA,West,1184,3760,0.4402,0.0237,28,34.15,956.2,508.17,540.48,222.53,17741,15989,15187,504,982,169
2025-02-18,LA-001,Los Angeles,CA,West,1227,5116,0.6244,0.0537,65,34.47,2240.55,228.27,356.57,168.8,8659,10281,11041,145,606,109
2025-02-20,LA-001,Los Angeles,CA,West,1130,5002,0.3546,0.0762,86,34.37,2807.9,352.41,356.44,265.06,10251,10239,14992,312,463,199
2025-02-22,LA-001,Los Angeles,CA,West,1262,4328,0.4742,0.0538,67,22.15,1484.05,273.88,688.68,258.99,9134,11904,12922,206,753,167
2025-02-23,LA-001,Los Angeles,CA,West,1470,5916,0.4965,0.075,110,,3019.5,201.14,256.24,323.21,8830,6411,20339,205,408,209
2025-02-24,LA-001,Los Angeles,CA,West,914,3317,0.352,0.0531,48,18.7,897.6,278.91,709.19,124.11,11508,17808,7966,382,610,71
2025-02-26,LA-001,Los Angeles,CA,West,1148,4549,0.6044,0.0592,67,32.66,2188.22,213.66,422.05,252.65,5581,6390,11405,139,302,180
2025-03-01,LA_001,Los Angeles,CA,West,1416,4143,0.6277,0.074,104,27.8,2726.04,293.21,701.51,260.89,11741,18022,13552,194,657,141
03/02/2025,LA-001,Los Angeles,CA,West,1379,6145,0.3661,0.0462,63,32.34,2037.42,456.84,698.33,215.21,18488,10785,10373,644,535,119
2025-03-04,LA-001,Los Angeles,CA,West,810,2480,0.5635,0.058,46,,1412.2,218.36,242.49,193.98,7030,4618,8530,131,221,115
2025-03-05,LA-001,Los Angeles,CA,West,962,4167,0.6216,0.0787,75,27.94,2095.5,317.06,306.64,192.27,11053,4890,10198,258,241,89
2025-03-08,LA-001,Los Angeles,CA,West,1496,6233,0.4489,0.0401,59,31.96,1885.64,530.72,305.34,196.96,23322,5500,9734,799,378,106
2025-03-09,LA-001,Los Angeles,CA,West,1117,4163,0.5545,0.053,59,34.22,2018.98,435.01,450.46,189.92,16903,12290,12130,391,614,173
2025-03-11,LA-001,Los Angeles,CA,West,925,4037,0.5575,0.0526,48,31.55,1514.4,502.38,497.71,273.16,13413,13206,16315,296,737,137
2025/03/12,LA-001,Los Angeles,CA,West,802,3037,0.5226,0.0467,37,24.95,923.15,391.89,480.22,202.79,9989,7956,10642,341,275,185
2025-03-13,LA-001,Los Angeles,CA,West,1005,3358,0.4401,0.0686,68,20.4,1387.2,413.27,565.03,159.44,18464,10542,7212,336,552,126
03/14/2025,LA-001,Los Angeles,CA,West,1537,5319,0.5614,0.0323,49,30.91,1514.59,202.52,288.84,329.28,5820,5744,17691,117,370,234
2025-03-15,LA-001,Los Angeles,CA,West,1747,6988,0.4392,0.0569,99,19.9,1970.1,222.43,386.58,163.93,8645,8760,8614,153,397,84
2025-03-16,LA-001,Los Angeles,CA,West,1348,4597,0.3529,0.0282,38,31.95,1214.1,361.96,477.59,284.33,12057,13180,15541,200,411,242
2025-03-17,LA-001,Los Angeles,CA,West,1038,3106,0.3843,0.0665,69,32.08,2213.52,476.14,259.97,292.56,17106,7759,12601,540,465,138
2025-03-18,LA-001,Los Angeles,CA,West,1109,3766,0.5632,0.058,64,21.24,1359.36,254.38,339.33,134.25,8144,6520,7539,174,379,82
2025-03-20,LA-001,Los Angeles,CA,West,797,3406,0.3881,0.072,57,22.62,1289.34,478.25,605.51,282.3,16637,14327,13567,387,688,194
2025-03-21,LA-001,Los Angeles,CA,West,1862,7532,0.5693,0.0475,88,29.46,2592.48,202.8,496.52,172.28,6812,9025,8279,215,392,114
2025-03-24,LA-001,Los Angeles,CA,West,1024,3635,0.3502,0.0775,79,21.84,1725.36,227.49,552.0,158.15,9930,10548,9431,198,473,160
2025/03/26,LA-001,Los Angeles,CA,West,1106,4375,0.3528,0.0617,68,31.98,2174.64,332.03,303.44,137.0,10844,7877,5900,230,513,55
03/28/2025,LA-001,Los Angeles,CA,West,1561,5538,0.5667,0.0577,90,21.0,1890.0,427.16,652.78,140.81,11537,17159,8122,261,1175,90
2025-03-29,LA-001,Los Angeles,CA,West,1641,5436,0.5053,0.0506,83,30.84,2559.72,199.64,671.0,349.12,6966,11199,19197,187,572,341
2025-03-30,LA-001,Los Angeles,CA,West,1126,4979,0.5811,0.021,23,19.61,451.03,194.34,269.03,309.43,6827,6572,17028,159,381,150
2025-03-31,LA-001,Los Angeles,CA,West,822,3467,0.5543,0.024,19,30.03,570.57,484.73,267.79,140.69,16330,5837,8197,345,348,126
2025-04-01,LA-001,Los Angeles,CA,West,1181,3642,0.3881,0.0669,79,22.93,1811.47,457.71,254.09,313.71,13932,4054,19252,369,134,241
2025-04-04,LA-001,Los Angeles,CA,West,1911,6145,0.4915,0.043,82,20.98,1720.36,488.69,505.38,339.35,19456,10759,16850,453,632,180
2025-04-06,LA_001,Los Angeles,CA,West,1565,5619,0.4347,0.0707,110,23.9,2629.0,182.87,336.32,255.31,5683,8186,13765,152,407,216
2025-04-08,LA-001,Los Angeles,CA,West,1336,3744,0.5472,0.0709,94,30.5,2588.85,265.74,476.17,134.37,11942,12225,5749,399,805,75
04/11/2025,LA-001,Los Angeles,CA,West,996,3525,0.6393,0.0342,34,22.81,775.54,468.29,576.35,296.48,14686,10996,12523,279,672,173
2025-04-12,LA-001,Los Angeles,CA,West,1416,4344,0.5558,0.0696,98,30.0,2744.76,298.01,283.78,179.57,9570,6442,10830,193,448,90
2025-04-13,LA_001,Los Angeles,CA,West,1554,6544,0.6448,0.0278,43,32.09,1379.87,406.91,549.45,259.76,12279,14940,10560,200,987,131
2025-04-15,LA-001,Los Angeles,CA,West,985,3902,0.4018,0.0329,32,21.59,690.88,498.03,256.63,268.6,14898,4985,14063,387,161,151
2025-04-16,LA-001,Los Angeles,CA,West,1046,4319,0.4577,0.0527,55,26.5,1457.5,360.86,426.42,163.16,11322,7797,10910,346,252,195
2025-04-18,LA-001,Los Angeles,CA,West,2221,7047,0.604,0.0678,150,24.35,3652.5,484.28,324.53,262.2,19915,8263,17677,309,479,308
2025-04-19,LA-001,Los Angeles,CA,West,1718,5074,0.4198,0.0331,56,27.19,1434.01,252.53,302.63,292.07,10953,8372,14518,169,447,249
2025-04-20,LA-001,Los Angeles,CA,West,1384,4245,0.6346,0.0675,93,34.35,3194.55,242.71,705.0,286.45,10576,18897,13376,283,699,148
2025-04-21,LA-001,Los Angeles,CA,West,1112,3174,0.5307,0.0753,83,34.46,2860.18,383.6,689.61,153.75,15308,12806,10681,281,837,94
2025-04-28,LA-001,Los Angeles,CA,West,844,3146,0.3804,0.0488,41,32.76,1343.16,427.38,318.08,137.69,17913,6178,6824,609,203,66
2025-04-30,LA_001,Los Angeles,CA,West,1027,4521,0.3995,0.0734,75,21.09,1377.0,248.39,574.65,293.29,9836,10906,14208,194,348,194
2025-05-02,LA_001,Los Angeles,CA,West,1527,4488,0.6031,0.0385,58,25.06,1453.48,417.97,283.75,250.59,11994,8025,12800,286,325,161
05/03/2025,LA-001,Los Angeles,CA,West,1611,5993,0.6412,0.0554,89,27.63,2459.07,474.63,440.94,248.52,20094,9754,16514,492,323,281
2025-05-04,LA-001,Los Angeles,CA,West,1766,7863,0.5925,0.0276,48,25.49,1223.52,336.74,718.69,270.53,14036,13560,18213,467,443,216
2025-05-05,LA-001,Los Angeles,CA,West,1479,5196,0.4743,0.0289,42,28.2,1184.4,518.27,683.97,255.04,14003,13194,14299,306,612,169
2025/05/07,LA-001,Los Angeles,CA,West,955,3884,0.6263,0.0738,70,18.83,1318.1,289.1,374.57,237.99,11252,6170,15723,199,425,195
2025-05-10,LA-001,Los Angeles,CA,West,1589,6667,0.5046,0.0295,46,23.63,1086.98,228.83,648.62,331.04,5853,11604,21513,185,463,270
2025-05-11,LA_001,Los Angeles,CA,West,1192,3697,0.6111,0.0552,65,24.27,1577.55,502.02,599.5,285.32,15412,12468,12807,407,855,212
2025/05/13,LA-001,Los Angeles,CA,West,1193,4653,0.5303,0.0205,24,22.66,543.84,289.97,704.17,274.26,9707,14539,13839,194,707,204
2025-05-14,LA-001,Los Angeles,CA,West,902,2691,0.3692,0.0793,71,29.07,2063.97,274.01,581.33,334.17,8487,10027,21040,280,623,337
2025-05-15,LA-001,Los Angeles,CA,West,924,3197,0.3606,0.0625,57,27.94,1592.58,441.56,346.73,248.31,17970,9915,14937,451,632,245
2025-05-17,LA-001,Los Angeles,CA,West,1372,4670,0.5733,0.0384,52,31.5,1638.0,273.8,381.14,324.29,9421,10670,18649,319,350,315
05/19/2025,LA-001,Los Angeles,CA,West,1086,3796,0.5208,0.0744,80,26.05,2084.0,437.64,613.89,237.02,16464,10836,13992,248,443,218
2025-05-21,LA-001,Los Angeles,CA,West,982,3082,0.4619,0.0208,20,23.82,476.4,248.61,564.84,270.4,7452,14348,13609,130,650,188
2025-05-22,LA-001,Los Angeles,CA,West,1053,4730,0.4528,0.0741,78,24.43,1905.54,521.31,680.74,216.81,15414,17636,9525,457,945,92
05/24/2025,LA-001,Los Angeles,CA,West,1235,3499,0.5569,0.045,55,24.77,1362.35,350.78,313.5,286.85,13191,6118,17167,372,249,241
2025-05-31,LA-001,Los Angeles,CA,West,1115,3196,0.4989,0.0325,36,33.9,1220.4,180.99,562.38,337.65,7548,14079,15016,126,710,228
06/02/2025,LA-001,Los Angeles,CA,West,1513,6298,0.4438,0.0643,97,20.07,1946.79,196.52,648.96,279.21,5583,13214,14834,153,860,132
2025-06-04,LA-001,Los Angeles,CA,West,1373,5704,0.3839,0.0618,84,19.47,1635.48,237.38,439.69,261.78,9743,11069,11894,220,490,98
06/05/2025,LA-001,Los Angeles,CA,West,1500,5001,0.5614,0.0607,91,31.16,2835.56,383.4,709.39,280.76,12179,16207,17131,205,915,179
2025-06-06,LA-001,Los Angeles,CA,West,1929,5915,0.6047,0.0711,137,32.85,4046.65,266.72,705.67,132.08,7856,17394,6881,154,841,110
2025-06-07,LA-001,Los Angeles,CA,West,1850,5465,0.5313,0.0571,105,23.53,2470.65,254.47,562.31,348.09,8210,8892,16251,197,465,230
2025-06-08,LA-001,Los Angeles,CA,West,1854,8230,0.4376,0.0513,95,30.08,2475.87,230.56,584.09,293.17,6257,14113,13376,210,645,168
2025-06-09,LA-001,Los Angeles,CA,West,999,4421,0.3904,0.0499,49,27.25,1259.85,481.97,471.81,242.0,20928,8331,13880,619,292,164
2025-06-10,LA-001,Los Angeles,CA,West,1430,6346,0.6411,0.0472,67,20.7,1386.9,432.01,599.24,191.74,16861,16725,11764,568,924,117
2025-06-11,LA-001,Los Angeles,CA,West,1255,3760,0.4557,0.0488,61,27.92,1703.12,330.29,598.98,321.93,10146,16597,20683,258,514,195
2025-06-14,LA-001,Los Angeles,CA,West,1584,4522,0.5942,0.0261,41,32.82,1345.62,491.34,596.36,254.7,14618,15961,16291,303,903,281
06/15/2025,LA-001,Los Angeles,CA,West,1441,6166,0.599,0.0747,107,30.13,3223.91,451.84,502.38,264.81,18309,14802,12929,339,848,127
06/16/2025,LA-001,Los Angeles,CA,West,1045,3379,0.4492,0.0626,65,21.05,1368.25,296.15,264.41,343.77,11050,6591,18809,292,292,297
2025-06-17,LA-001,Los Angeles,CA,West,1355,4558,0.4582,0.0331,44,30.92,1360.48,538.79,635.37,355.47,13564,15905,18971,448,867,269
2025-06-18,LA-001,Los Angeles,CA,West,1485,6458,0.5966,0.0425,63,31.75,2000.25,195.79,671.18,166.2,6907,19614,7482,235,1010,60
06/19/2025,LA-001,Los Angeles,CA,West,1138,4686,0.544,0.0764,86,30.82,2650.52,345.32,399.22,141.01,9007,10744,8001,238,420,84
06/19/2025,LA-001,Los Angeles,CA,West,1138,4686,0.544,0.0764,86,30.82,2650.52,345.32,399.22,141.01,9007,10744,8001,238,420,84
2025-06-20,LA-001,Los Angeles,CA,West,999,4081,0.5257,0.0621,62,19.7,1221.4,218.21,617.71,192.32,5832,16356,10218,133,922,130
2025-06-21,LA-001,Los Angeles,CA,West,2356,9517,0.4619,0.077,181,27.63,5001.03,224.36,242.41,263.2,8019,7079,12933,240,468,147
2025-06-23,LA-001,Los Angeles,CA,West,1112,4724,0.6054,0.0759,84,34.91,2932.44,377.88,379.51,136.17,10189,9823,7437,220,345,108
2025-06-24,LA-001,Los Angeles,CA,West,1121,3741,0.4785,0.0203,22,22.56,496.32,446.33,449.34,321.63,12357,11680,21335,299,518,235
06/25/2025,LA-001,Los Angeles,CA,West,1236,4013,0.6159,0.0246,30,19.74,533.41,191.23,519.31,217.23,7037,14849,12283,182,1038,156
2025-06-26,LA-001,Los Angeles,CA,West,1105,4338,0.6044,0.0684,75,28.63,2147.25,365.09,454.19,162.99,16054,11305,11251,477,557,130
2025-06-29,LA-001,Los Angeles,CA,West,2090,6016,0.6442,0.0394,82,30.11,2469.02,478.67,640.74,183.2,17178,11281,10920,383,633,178
2025-06-30,LA-001,Los Angeles,CA,West,1106,3358,0.3997,0.0246,27,29.12,786.24,247.29,413.87,292.15,6767,7638,18795,198,376,240
2025-06-30,LA-001,Los Angeles,CA,West,1106,3358,0.3997,0.0246,27,29.12,786.24,247.29,413.87,292.15,6767,7638,18795,198,376,240
2025-07-02,LA_001,Los Angeles,CA,West,1157,4365,0.3668,0.0355,41,21.47,880.27,395.77,510.53,124.47,15589,12725,6037,260,610,108
2025-07-03,LA-001,Los Angeles,CA,West,1291,4366,0.486,0.0554,71,22.29,1582.59,,337.13,326.3,7687,7179,14516,130,352,205
07/04/2025,LA-001,Los Angeles,CA,West,2380,10012,0.6191,0.0665,158,29.21,4615.18,313.34,260.85,247.16,9271,7051,15740,209,377,242
2025-07-05,LA-001,Los Angeles,CA,West,2096,6542,0.5627,0.0674,141,28.04,3363.44,415.64,570.13,195.82,13402,9875,11660,269,633,142
2025-07-06,LA-001,Los Angeles,CA,West,1621,6067,0.4261,0.0384,62,24.18,1499.16,444.88,650.4,278.23,17775,14112,16966,324,544,203
07/08/2025,LA-001,Los Angeles,CA,West,1652,5848,0.3692,0.0333,55,19.82,968.48,534.4,534.7,245.04,20965,12812,16753,658,712,207
2025-07-10,LA-001,Los Angeles,CA,West,1748,5001,0.4218,0.02,34,21.1,717.4,460.68,409.5,214.83,16916,9322,13342,276,313,144
